Night ID,Average Attenuation,Std Attenuation,Clarity Metric
2025-07-05,-0.007559660961096963,0.9431997775904353,0.9356401166293382
2025-07-06,-0.030189878034473594,1.0370652174027346,1.006875339368261
2025-07-07,-0.027474663449906626,1.1464093556422799,1.118934692192373
2025-07-08,-0.03449843460406303,1.2397648219969823,1.2052663873929195
2025-07-09,-0.03662666657314715,1.28226355074561,1.2456368841724628
2025-07-10,-0.04293202968957364,1.2850422753996456,1.242110245710072
2025-07-11,-0.039984409764481164,1.3020613173671272,1.2620769076026461
2025-07-12,-0.02762726508749856,1.2573663279370484,1.2297390628495497
2025-07-13,-0.01426756412825075,1.1182573920967815,1.103989827968531
2025-07-14,2.4656195056221275,3.5727810470308166,6.038400552652943
2025-07-15,0.2218030677969779,1.6459346731369575,1.8677377409339355
2025-07-16,-0.004395525444180239,0.9333857509364386,0.9289902254922584
2025-07-17,0.016174150665946217,0.744234019387665,0.7604081700536113
2025-07-18,0.017713468857608265,0.41295218612678924,0.4306656549843975
2025-07-19,0.06779371706960617,0.6459329732037027,0.7137266902733088
2025-07-20,1.372471837101394,2.168704551411891,3.5411763885132848
