metric,absolute,motion,scheduler
Coadd_m5_proxy,22.121551524127348,22.120857693713983,18.016079217067663
Delta_depth_vs_phot,-0.3301444374662985,-0.33157973857793266,-3.6817197131465775
Max_airmass,1.5394804318340654,1.5394804318340654,1.7841005169023227
Max_gap_min,23.869733337778598,23.869733337778598,24.56381666357629
Mean_airmass,1.2323278092283607,1.2302557550247493,1.3115004150668796
Mean_cloud_ext,0.326911656543462,0.3285541630754567,2.9911252490261147
Mean_m5,24.149855562533702,24.148420261422068,20.798280286853423
Mean_slew_s,4.334104210470433,4.306662670497539,9.83048096085666
Median_airmass,1.2041594578792296,1.2041594578792296,1.237075943747163
Median_cloud_ext,0.2838706970214844,0.2838706970214844,3.2163820266723633
Median_gap_min,0.5039583396865055,0.5039583396865055,0.8380333345849067
Median_m5,24.164755592391856,24.164755592391856,21.03617442605652
Median_seeing,0.7204159457879229,0.7204159457879229,1.0197167675643277
Median_slew_s,3.517093610879304,3.472120924109439,5.897203221105465
Min_cloud_ext,-0.32386016845703125,-0.32386016845703125,1.5835227966308594
N_visits,33.0,33.0,19.0
Night_duration_h,1.3846616665832698,1.3846616665832698,1.3368722222512588
Open_shutter_frac,0.19860447258454067,0.19860447258454067,0.11843565203754894
Sky_frac_visited,0.0013834635416666667,0.0013834635416666667,0.0015462239583333333
Total_exposure_h,0.275,0.275,0.15833333333333333
Total_photons,1976194.8749750203,1972576.9943611897,116858.51020040238
Total_slew_h,0.03972928859597897,0.03947774114622744,0.051883093960076815
fO_area_deg2,57.071967874359345,57.071967874359345,63.78631703604867
